Shift (um),Time stamps (s)
5.095440408950003,5.819999933009967e-05
3.8335139147361676,71.53544329999932
5.750261983934566,142.8800857999995
4.571855744760304,214.32110280000052
5.376296175155677,285.8609246999986
2.5206634236950602,357.41068749999977
3.9898054723137015,428.8348181000001
4.5793716893140495,500.47724070000186
3.230068671035996,572.0228655999999
3.1644635741376668,643.5313108000009
4.555916316538623,715.0697003999994
5.678458916257366,786.5593881999994
4.068744280092332,858.2021061999985
3.816622840211201,929.5553881000014
3.5397366480811456,1001.0190790999986
4.829331233376907,1072.4797214999999
5.424257884638944,1143.9351266999984
5.678825627860295,1215.385151999999
2.718651513786128,1286.8471179000007
5.49050761110289,1358.2387885999997
2.2766410857940524,1429.5698024999983
4.7716433980169715,1501.088152799999
2.9724879428311493,1572.4863654
3.4749152163798485,1643.9475088
4.109428060368206,1715.4491283999996
3.414672190276944,1787.0086425000009
4.282353811280661,1858.4569847999992
4.326594572380461,1929.9688287999998
4.278158535180403,2001.479091000001
4.472185769239077,2072.8170912999994
